name,start_time,"miso"
"SPI",1.81354172,0x1A
"SPI",1.81372984,0x00
"SPI",1.81391796,0x25
"SPI",1.81410608,0xC0
"SPI",1.82947452,0x1A
"SPI",1.82968152,0x00
"SPI",1.82988848,0x23
"SPI",1.83007664,0xC0
"SPI",1.84540228,0x1A
"SPI",1.8456092,0x00
"SPI",1.84579736,0x22
"SPI",1.84598548,0xC0
"SPI",1.86132764,0x1A
"SPI",1.86153456,0x00
"SPI",1.86174148,0x21
"SPI",1.8619296,0xC0
"SPI",1.87725796,0x1A
"SPI",1.87744608,0x00
"SPI",1.8776342,0x20
"SPI",1.87782232,0xC0
"SPI",1.89318184,0x1A
"SPI",1.89337,0x00
"SPI",1.89355812,0x1E
"SPI",1.89374628,0xC0
"SPI",1.90910224,0x1A
"SPI",1.90929036,0x00
"SPI",1.90947848,0x1D
"SPI",1.9096666,0xC0
"SPI",1.94095372,0x1A
"SPI",1.94116068,0x00
"SPI",1.9413488,0x1C
"SPI",1.94153696,0xC0
"SPI",1.95688024,0x1A
"SPI",1.95706836,0x00
"SPI",1.95725648,0x1B
"SPI",1.9574446,0xC0
"SPI",1.97279988,0x1A
"SPI",1.97300684,0x00
"SPI",1.9732138,0x1A
"SPI",1.97340192,0xC0
"SPI",1.98871984,0x1A
"SPI",1.988908,0x00
"SPI",1.98909612,0x19
"SPI",1.98928428,0xC0
"SPI",2.00464856,0x1A
"SPI",2.00483668,0x00
"SPI",2.00502476,0x17
"SPI",2.00521288,0xC0
"SPI",2.02057072,0x1A
"SPI",2.02075884,0x00
"SPI",2.020947,0x16
"SPI",2.02113512,0xC0
"SPI",2.0364896,0x1A
"SPI",2.03667772,0x00
"SPI",2.03686584,0x14
"SPI",2.03705396,0xC0
"SPI",2.05240904,0x1A
"SPI",2.05259716,0x00
"SPI",2.05278528,0x12
"SPI",2.05297344,0xC0
"SPI",2.06833224,0x1A
"SPI",2.06852036,0x00
"SPI",2.06870852,0x11
"SPI",2.06889668,0xC0
"SPI",2.08425268,0x1A
"SPI",2.0844408,0x00
"SPI",2.08462896,0x10
"SPI",2.08481708,0xC0
"SPI",2.10017388,0x1A
"SPI",2.10036204,0x00
"SPI",2.10056896,0x0E
"SPI",2.10077592,0xC0
"SPI",2.11610068,0x1A
"SPI",2.1162888,0x00
"SPI",2.11647692,0x0D
"SPI",2.11666504,0xC0
"SPI",2.13202332,0x1A
"SPI",2.13223028,0x00
"SPI",2.1324184,0x0C
"SPI",2.13260656,0xC0
"SPI",2.16388104,0x1A
"SPI",2.16406916,0x00
"SPI",2.16425732,0x0A
"SPI",2.16444544,0xC0
"SPI",2.17981024,0x1A
"SPI",2.17999836,0x00
"SPI",2.18018648,0x09
"SPI",2.18037464,0xC0
"SPI",2.19573484,0x1A
"SPI",2.195923,0x00
"SPI",2.19611116,0x08
"SPI",2.19629932,0xC0
"SPI",2.21165772,0x1A
"SPI",2.21184588,0x00
"SPI",2.212034,0x06
"SPI",2.21222216,0xC0
"SPI",2.22757216,0x1A
"SPI",2.22776028,0x00
"SPI",2.2279484,0x05
"SPI",2.22813652,0xC0
"SPI",2.24350296,0x1A
"SPI",2.24369108,0x00
"SPI",2.24387924,0x04
"SPI",2.24406736,0xC0
"SPI",2.25942336,0x1A
"SPI",2.25961152,0x00
"SPI",2.25979964,0x03
"SPI",2.2599878,0xC0
"SPI",2.2753522,0x1A
"SPI",2.27554032,0x00
"SPI",2.27572848,0x02
"SPI",2.2759166,0xC0
"SPI",2.29127572,0x1A
"SPI",2.29146384,0x00
"SPI",2.2916708,0x01
"SPI",2.29187776,0xC0
"SPI",2.68939892,0x1A
"SPI",2.68958708,0x00
"SPI",2.6897752,0x03
"SPI",2.68996336,0xC0
"SPI",2.7053208,0x1A
"SPI",2.70550892,0x00
"SPI",2.70569704,0x03
"SPI",2.70588516,0x80
